fingerprint,words,scope,replace_with,lat,lng,note
ca7c222b9640a1cf37f4e459fcc6dd9295240f88b9609305ba7e8cb8d0eeab93,2,Kingdom of Northshield,[private location],42.851725,-88.321701,Practice site; owner asked for removal 2026-09 (venue name)
2accd0b96c6850b67f4c81d2bad52f0236a254352d7dd1b63c72409351528dc8,6,,[private location],42.851725,-88.321701,Practice site; owner asked for removal 2026-09 (street address)
