title,location,day,schedule_url,source,kingdom,is_virtual,lat,lng,location_specificity
Courtlandtslot Fighter Practice,"4849 Fairground Ave, Cortland, NY 13045",Sundays,https://courtlandtslot.aethelmearc.org/meetings.htm,Shire of Courtlandtslot,Kingdom of Aethelmearc,FALSE,42.615857,-76.189487,exact
Middle Marches Joint Practice,"Ridgewood Park, 5442 Buenos Aires Boulevard, Westerville OH",Sundays,https://middlemarches.midrealm.org/events/middle-marches-practice-schedule/,Barony of the Middle Marches,Kingdom of the Middle,FALSE,40.084586,-82.916065,exact
Crafternoons,"Linden, MI (you’ll need to ask for the address)",Tuesdays,https://northwoods.midrealm.org/activities/canton-and-baronial-events/,Canton of Wealdlake,Kingdom of the Middle,FALSE,42.815,-83.78167,vague
Loch Salann Archery Practice (WINTER ONLY),"Legacy Shooting Center 1475 W 9000 S Ste C, West Jordan, UT 84088",Thursdays,https://www.lochsalann.org/marshallate-activities/archery-practice,Barony of Loch Salann,Kingdom of Artemisia,FALSE,40.587051,-111.933834,exact
Loch Salann Archery Practice (SUMMER ONLY),"8775 Old Homestead Ln, West Jordan, UT 84088 ",Thursdays,https://www.lochsalann.org/marshallate-activities/archery-practice,Barony of Loch Salann,Kingdom of Artemisia,FALSE,40.592009,-111.992412,exact
Gryphons Lair Fighter Practice,"First Presbyterian Church of Ogden, Utah",Thursdays,https://sites.google.com/artemisia.sca.org/barony-of-gryphons-lair/activties/fighting?authuser=0,Barony of Gryphon's Lair,Kingdom of Artemisia,FALSE,41.21428,-111.956808,exact
Gryphons Lair – A&S & Bardic,"Unknown location, Ogden",some Wednesdays and Sundays,https://sites.google.com/artemisia.sca.org/barony-of-gryphons-lair/activties?authuser=0,Barony of Gryphon's Lair,Kingdom of Artemisia,FALSE,41.222886,-111.970619,vague
Havre des Glaces – Fighter Practices,"Church of Saint-Fidèle, 1260 4th Avenue, Quebec",Thursdays,https://havredesglaces.eastkingdom.org/activites/combats/,Barony of Havre des Glaces,Kingdom of the East,FALSE,46.829012,-71.229085,exact
PAL Practice,"31 Franklin St, Fall River, MA in the gym upstairs",most Fridays and the second Saturday of each month,https://www.facebook.com/groups/PALSCAPRACTICE/,Barony of Smoking Rocks,Kingdom of the East,FALSE,41.703396,-71.154483,exact
Dark River Fighter Practice ,"Bethel Wesley United Methodist Church, Activity Center, 1201 13th Street, Moline, IL 61265",Wednesdays,https://darkriver.midrealm.org/meetings/,Shire of Dark River,Kingdom of the Middle,FALSE,41.499888,-90.518512,exact
